Index,Aufgabe,Start,Ende,Kategorie,Beschreibung,Kosten,Fortschritt
,Bestands- und Bedarfsanalyse,01.02.2023,10.02.2023,Bestands- und Bedarfsanalyse,Bestimmung der Stakeholder und Akteure,,
,Bestands- und Bedarfsanalyse,01.02.2023,10.02.2023,Bestands- und Bedarfsanalyse,Kooperationspartner definieren,,
,Technische Umsetzung und Anlaufphase,01.03.2023,15.03.2023,Technische Umsetzung und Anlaufphase,Bestimmung der Plattform,,
,Bestands- und Bedarfsanalyse,11.02.2023,20.02.2023,Bestands- und Bedarfsanalyse,Bestands- und Bedarfsanalyse der Stakeholder,,
,Oeffentlichkeitsarbeit und Marketing,01.02.2023,28.02.2023,Oeffentlichkeitsarbeit und Marketing,Brainstorming Plattformname und -logo,,
,Ideenworkshops und Konzeptionierung der Plattform,01.04.2023,08.04.2023,Ideenworkshops und Konzeptionierung der Plattform,Kickoff-Meeting fuer Stakeholder,,
,Bestands- und Bedarfsanalyse,01.03.2023,31.03.2023,Bestands- und Bedarfsanalyse,Bestands- und Bedarfsanalyse der Zielgruppen,,
,Ideenworkshops und Konzeptionierung der Plattform,01.04.2023,08.04.2023,Ideenworkshops und Konzeptionierung der Plattform,Buerger-Workshop,,
,Oeffentlichkeitsarbeit und Marketing,15.05.2023,31.05.2023,Oeffentlichkeitsarbeit und Marketing,Aufbau und Design der Plattform,,
,Technische Umsetzung und Anlaufphase,01.06.2023,31.07.2023,Technische Umsetzung und Anlaufphase,technische Umsetzung,,
,Inbetriebnahme und Pflege,15.08.2023,16.08.2023,Inbetriebnahme und Pflege,Going Public,,
,Inbetriebnahme und Pflege,16.08.2023,31.12.2026,Inbetriebnahme und Pflege,Redaktionelle Betreuung und Administration,,
,Bestands- und Bedarfsanalyse,01.12.2023,15.12.2023,Bestands- und Bedarfsanalyse,Erfolgsmessung,,
,Bestands- und Bedarfsanalyse,01.01.2024,08.01.2024,Bestands- und Bedarfsanalyse,Bedarfspruefung,,
,Technische Umsetzung und Anlaufphase,15.01.2024,15.02.2024,Technische Umsetzung und Anlaufphase,Ergaenzung von Modulen,,
,Oeffentlichkeitsarbeit und Marketing,01.03.2024,31.12.2024,Oeffentlichkeitsarbeit und Marketing,"Wettbewerbe, Preisausschreibung, Sonderformate",,
,Bestands- und Bedarfsanalyse,01.06.2024,15.06.2024,Bestands- und Bedarfsanalyse,Bedarfspruefung,,
